ID,Solution,Feature0,Feature1,Feature2,Feature3,Feature4
0,1248.0,40,88,25,18,16
1,1138.0,19,89,44,3,22
2,1887.0,58,84,23,88,95
3,1174.0,31,46,88,1,13
4,1227.0,25,40,19,96,74
5,946.0,57,7,14,10,86
6,2183.0,90,87,64,63,42
7,1873.0,97,96,35,8,28
8,1121.0,38,20,84,31,3
9,1674.0,55,75,28,85,48
10,1668.0,88,85,18,27,21
11,955.0,24,11,53,51,46
12,1081.0,3,80,34,6,88
13,1108.0,66,39,4,26,37
14,1400.0,34,72,54,60,8
15,2438.0,89,95,83,67,68
16,1501.0,73,32,56,21,66
17,1142.0,37,18,67,33,49
18,1233.0,21,76,48,15,54
19,1744.0,47,62,86,36,75
