python main.py -c 3,2,1 -n 15 -h 100,100 -l 1,1 -s 0.0 -o ../../results/rmse-vs-above-c3_2_1-k10-n0_0/data.csv

Coefficient 0
	Above	Total	Mean	Stdev
	0	12	0.574	0.19
	1	162	0.521	0.153
	2	566	0.488	0.158
	3	1168	0.462	0.162
	4	1800	0.463	0.176
	5	2219	0.501	0.22
	6	1872	0.545	0.248
	7	1312	0.634	0.292
	8	653	0.708	0.336
	9	206	0.841	0.361
	10	30	0.838	0.278


Coefficient 1
	Above	Total	Mean	Stdev
	0	141	0.572	0.132
	1	616	0.533	0.153
	2	1296	0.522	0.192
	3	2039	0.514	0.236
	4	2063	0.501	0.23
	5	1860	0.532	0.27
	6	1195	0.575	0.288
	7	548	0.631	0.302
	8	193	0.713	0.321
	9	46	0.788	0.293
	10	3	0.85	0.114


Coefficient 2
	Above	Total	Mean	Stdev
	0	11	1.202	0.163
	1	59	1.112	0.32
	2	253	0.952	0.346
	3	573	0.762	0.323
	4	1155	0.646	0.299
	5	1698	0.536	0.234
	6	2195	0.486	0.196
	7	1955	0.469	0.169
	8	1369	0.455	0.15
	9	601	0.471	0.141
	10	131	0.476	0.15
