python main.py -c 3,2,1 -n 15 -h 100,100 -l 1,1 -s 0.0 -o ../../results/rmse-vs-above-c2_1-k10-n0_0/data.csv

Coefficient 0
	Above	Total	Mean	Stdev
	0	0	0	0
	1	14	0.401	0.073
	2	79	0.361	0.115
	3	273	0.305	0.108
	4	689	0.278	0.107
	5	1452	0.27	0.108
	6	2055	0.28	0.128
	7	2234	0.306	0.148
	8	1872	0.34	0.163
	9	1045	0.4	0.177
	10	287	0.462	0.188


Coefficient 1
	Above	Total	Mean	Stdev
	0	613	0.343	0.144
	1	1866	0.332	0.152
	2	2727	0.316	0.152
	3	2319	0.303	0.148
	4	1490	0.298	0.147
	5	690	0.309	0.15
	6	225	0.3	0.132
	7	60	0.398	0.176
	8	9	0.473	0.079
	9	1	0.479	0.0
	10	0	0	0


Coefficient 2
	Above	Total	Mean	Stdev
	0	22	0.682	0.224
	1	144	0.534	0.226
	2	493	0.432	0.206
	3	1120	0.375	0.186
	4	1868	0.323	0.157
	5	2275	0.296	0.136
	6	1981	0.277	0.111
	7	1325	0.276	0.096
	8	579	0.293	0.091
	9	169	0.3	0.083
	10	24	0.318	0.103
