python main.py -c 3,2,1 -n 15 -h 30,30 -l 1,1 -s 0.0 -o ../../results/rmse-vs-above-c3_2_1-k10-n1_5-2/data.csv

Coefficient 0
	Above	Total	Mean	Stdev
	0	19	2.228	0.587
	1	129	2.035	0.612
	2	449	1.887	0.524
	3	1044	1.803	0.535
	4	1696	1.745	0.51
	5	2250	1.725	0.54
	6	2064	1.755	0.561
	7	1424	1.875	0.622
	8	681	2.033	0.672
	9	217	2.286	0.649
	10	27	2.187	0.565


Coefficient 1
	Above	Total	Mean	Stdev
	0	17	2.42	0.923
	1	143	2.334	0.74
	2	440	2.201	0.72
	3	1076	1.933	0.624
	4	1743	1.768	0.603
	5	2012	1.705	0.487
	6	2051	1.721	0.525
	7	1448	1.777	0.523
	8	771	1.878	0.524
	9	264	2.058	0.548
	10	35	2.231	0.654


Coefficient 2
	Above	Total	Mean	Stdev
	0	63	2.206	0.585
	1	339	2.052	0.569
	2	864	1.925	0.574
	3	1673	1.8	0.552
	4	2020	1.73	0.54
	5	2123	1.739	0.568
	6	1583	1.783	0.595
	7	870	1.882	0.6
	8	364	2.008	0.539
	9	86	2.168	0.52
	10	15	2.431	0.911
