python main.py -c 9,4 -n 15 -h 100,100 -l 1,1 -s 0.0 -o ../../results/rmse-vs-above-c9_4-k10-n0_0/data.csv

Coefficient 0
	Above	Total	Mean	Stdev
	0	5	13.418	2.433
	1	52	11.975	4.006
	2	261	10.494	3.555
	3	731	9.851	4.251
	4	1444	9.239	3.617
	5	2182	9.119	3.496
	6	2241	9.266	3.75
	7	1743	9.664	3.725
	8	949	10.491	3.991
	9	331	11.3	3.945
	10	61	11.454	2.968


Coefficient 1
	Above	Total	Mean	Stdev
	0	111	12.213	3.277
	1	501	11.597	3.659
	2	1234	10.385	3.833
	3	1908	9.606	3.389
	4	2224	9.199	3.826
	5	1960	9.043	4.027
	6	1242	8.973	3.021
	7	585	9.809	4.413
	8	195	10.33	3.089
	9	37	12.027	4.273
	10	3	13.376	0.711
